"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","OTS EdTech Dashboard","1","Favorite Chapters Page","0","0","TC_FAVCHAP_004","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_013","0"
"0","Authentication","0","Login Page","2","0","Negative - Authorization","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_001","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_005","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_010","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_005","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_007","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_007","0"
"0","Authentication","0","Login Page","1","0","Recovery","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_004","0"
"0","Authentication","0","Login Page","1","0","UI - Content","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_008","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_004","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_009","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_010","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_018","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_005","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_017","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_013","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_016","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_001","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_003","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_005","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_010","0"
"0","OTS EdTech Reels","0","Reels Page","1","0","TC_REELS_004","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_005","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_014","0"
"0","Authentication","0","Login Page","1","1","Micro-interaction","0"
"0","Authentication","1","Login Page","1","0","Positive - Primary Path","0"
"0","Authentication","1","Login Page","1","0","Edge - Submission","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_002","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_019","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_006","0"
"0","OTS EdTech Dashboard","0","Switch Classes Page","1","0","TC_SWITCH_012","0"
"0","OTS EdTech Dashboard","0","Favorite Chapters Page","1","0","TC_FAVCHAP_002","0"
"0","OTS EdTech Explore","1","Explore Page","0","0","TC_EXPLORE_005","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_002","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_020","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_015","0"
"0","Authentication","0","Login Page","1","0","Edge - Recovery Navigation","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_010","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_005","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_003","0"
"0","OTS EdTech Dashboard","1","Quiz Performance Tracking","0","0","TC_QUIZTRACKING_008","0"
"0","OTS EdTech Homepage","0","Home Page","1","0","TC_HOME_028","0"
"0","Authentication","0","Login Page","2","0","Positive - Accessibility","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_021","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_005","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_004","0"
"0","OTS EdTech","1","Sign Up Page","0","0","TC_SIGNUP_016","0"
"0","Authentication","0","Login Page","1","0","Responsive - Mobile","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_002","0"
"0","OTS EdTech Explore","1","Explore Page","0","0","TC_EXPLORE_006","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_006","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_020","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_007","0"
"0","Authentication","0","Login Page","1","0","Negative - Input Handling","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_012","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_006","0"
"0","OTS EdTech Dashboard","1","Dashboard Page","0","0","TC_DASH_020","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_016","0"
"0","OTS EdTech Reels","0","Reels Page","1","0","TC_REELS_006","0"
"0","OTS EdTech Dashboard","0","Favorite Chapters Page","1","0","TC_FAVCHAP_007","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_013","0"
"0","OTS EdTech Dashboard","1","Quiz Performance Tracking","0","0","TC_QUIZTRACKING_015","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_006","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_008","0"
"0","OTS EdTech Dashboard","1","Quiz Performance Tracking","0","0","TC_QUIZTRACKING_013","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_004","0"
"1","OTS EdTech Homepage","0","Home Page","0","0","TC_HOME_019","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_009","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_009","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_006","0"
"0","OTS EdTech Dashboard","1","Quiz Performance Tracking","0","0","TC_QUIZTRACKING_016","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_007","0"
"0","Authentication","0","Login Page","1","0","Edge - Privacy","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_021","0"
"0","Authentication","0","Login Page","1","0","Positive - Keyboard","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_015","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_011","0"
"0","OTS EdTech Dashboard","1","Favorite Chapters Page","0","0","TC_FAVCHAP_008","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_012","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_004","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_008","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_026","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_006","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_003","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_019","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_003","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_007","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_009","0"
"0","OTS EdTech Dashboard","1","Dashboard Page","0","0","TC_DASH_014","0"
"0","Authentication","0","Login Page","1","0","Accessibility","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_010","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_003","0"
"0","OTS EdTech Reels","0","Reels Page","1","0","TC_REELS_005","0"
"0","OTS EdTech Reels","0","Reels Page","1","0","TC_REELS_003","0"
"0","OTS EdTech Dashboard","0","Favorite Chapters Page","1","0","TC_FAVCHAP_011","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_011","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_024","0"
"0","Authentication","0","Login Page","2","0","Negative - Error State","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_017","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_018","0"
"0","Authentication","0","Login Page","1","0","Edge - Media Control","0"
"0","OTS EdTech Dashboard","1","Quiz Performance Tracking","0","0","TC_QUIZTRACKING_014","0"
"0","OTS EdTech Homepage","0","Home Page","1","0","TC_HOME_015","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_018","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_012","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_009","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_007","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_004","0"
"0","OTS EdTech Dashboard","1","My Profile Page","0","0","TC_PROFILE_013","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_012","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_005","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_003","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_003","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_001","0"
"0","OTS EdTech Explore","1","Explore Page","0","0","TC_EXPLORE_011","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_007","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_002","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_006","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_009","0"
"0","Authentication","0","Login Page","1","0","Edge - Navigation","0"
"0","OTS EdTech Dashboard","1","Switch Classes Page","0","0","TC_SWITCH_002","0"
